,pruning,include_original_features,dataset,averageAUROC,HammingLoss,SubsetAccuracy,RankingLoss,MacroPrecision,MacroRecall,MacroFOne,nodes,leaves,groups,avg_group_features,gen_XofN_time,training_time,#used,#unused,group_max_len,group_min_len
36,True,with_org,CPI+fingerprint_low_freq,0.58849978,0.24975300000000003,0.346559,0.277992,0.463137,0.170756,0.239799,69.6,35.3,208.5,3.141388999974989,18.00146986,4.231169869983569,164.4,1982.6,7.1,2.0
37,True,no_org,CPI+fingerprint_low_freq,0.59433003,0.25070000000000003,0.350166,0.280922,0.461294,0.15964,0.22777699999999998,59.8,30.4,208.5,3.141388999974989,18.00146986,1.0822572799981571,164.4,1982.6,7.1,2.0
38,False,with_org,CPI+fingerprint_low_freq,0.59133829,0.319151,0.20891500000000002,0.26347299999999996,0.354832,0.401121,0.372662,834.8,417.9,208.5,3.141388999974989,18.00146986,4.231169869983569,164.4,1982.6,7.1,2.0
39,False,no_org,CPI+fingerprint_low_freq,0.58556996,0.334532,0.182972,0.25663800000000003,0.33248500000000003,0.391833,0.355012,857.4,429.2,208.5,3.141388999974989,18.00146986,1.0822572799981571,164.4,1982.6,7.1,2.0
40,True,with_org,CPI+fingerprint_high_freq,0.5854635100000001,0.233488,0.49306799999999995,0.155335,0.795031,0.9392820000000001,0.860491,62.4,31.7,72.5,3.433571476065405,13.548345890000002,3.490384809987154,69.7,2077.3,7.1,2.0
41,True,no_org,CPI+fingerprint_high_freq,0.5852112899999999,0.228789,0.495245,0.152821,0.794922,0.9482010000000001,0.864058,41.4,21.2,72.5,3.433571476065405,13.548345890000002,0.6787087199976668,69.7,2077.3,7.1,2.0
42,False,with_org,CPI+fingerprint_high_freq,0.57985535,0.279044,0.36908599999999997,0.162002,0.799381,0.8499040000000001,0.823269,622.6,311.8,72.5,3.433571476065405,13.548345890000002,3.490384809987154,69.7,2077.3,7.1,2.0
43,False,no_org,CPI+fingerprint_high_freq,0.5951613099999999,0.273254,0.36838,0.158582,0.798038,0.8623010000000001,0.8281890000000001,629.8,315.4,72.5,3.433571476065405,13.548345890000002,0.6787087199976668,69.7,2077.3,7.1,2.0
44,True,no_org,CPI+fingerprint_cardiac,0.57606238,0.272141,0.364279,0.23088999999999998,0.406389,0.1665805,0.231245,67.0,34.0,151.4,3.170462649450419,18.78722951,1.030298210005276,128.1,2018.9,7.0,2.0
45,False,with_org,CPI+fingerprint_cardiac,0.5852557899999999,0.343888,0.221026,0.231557,0.348306,0.41278500000000007,0.374707,816.8,408.9,151.4,3.170462649450419,18.78722951,4.076653010013979,128.1,2018.9,7.0,2.0
