UMLS_id	MedDRA_ADR_level	MedDRA_ADR_id	MedDRA_ADR_name
C0002419	LT	10001914	Amblyopia tobacco
C0002419	PT	10001914	Amblyopia tobacco
C0002419	LT	10043904	Tobacco amblyopia
C0002419	LT	10041224	Smoker's blindness
C0002438	LT	10001916	Amebiasis
C0002438	LT	10001980	Amoebiasis
C0002438	PT	10001980	Amoebiasis
C0002438	LT	10001917	Amebiasis NOS
C0002438	LT	10001982	Amoebiasis NOS
C0002438	LT	10001918	Amebiasis, unspecified
C0002438	LT	10001983	Amoebiasis, unspecified
C0002438	HT	10001981	Amoebic infections
C0002438	MTH_HT	10001981	Amebic infections
C0002447	LT	10001926	Amelia
C0002448	PT	10066796	Ameloblastoma
C0002448	LT	10066796	Ameloblastoma
C0002453	LT	10001927	Amenorrhea
C0002453	MTH_LT	10001929	Amenorrhea NOS
C0002453	LT	10001928	Amenorrhoea
C0002453	PT	10001928	Amenorrhoea
C0002453	LT	10001929	Amenorrhoea NOS
C0002453	LT	10000326	Absence of menstruation
C0002453	LT	10027319	Menses lack of
C0002514	HT	10021602	Inborn errors of amino acid metabolism
C0002514	OL	10013294	Disorders of amino-acid transport and metabolism
C0002514	LT	10045768	Unspecified disorder of amino-acid metabolism
C0002514	LT	10001938	Amino acid metabolism disorder
C0002514	PT	10001938	Amino acid metabolism disorder
C0002514	OL	10045769	Unspecified disorder of amino-acid transport and metabolism
C0002622	LT	10001949	Amnesia
C0002622	PT	10001949	Amnesia
C0002623	LT	10036308	Post-traumatic amnesia
C0002624	LT	10038965	Retrograde amnesia
C0002624	PT	10038965	Retrograde amnesia
C0002625	LT	10061423	Amnestic disorder
C0002625	PT	10061423	Amnestic disorder
C0002625	LT	10001952	Amnestic disorder NOS
C0002625	HT	10001954	Amnestic disorders
C0002625	LT	10001957	Amnestic syndrome
C0002627	LT	10001958	Amniocentesis
C0002627	PT	10001958	Amniocentesis
C0002631	LT	10021844	Infection of amniotic cavity
C0002631	LT	10001968	Amniotic cavity infection NOS
C0002631	LT	10060937	Amniotic cavity infection
C0002631	PT	10060937	Amniotic cavity infection
C0002631	LT	10051242	Amnionitis
C0002631	LT	10021847	Infection of amniotic cavity, unspecified as to episode of care
C0002632	LT	10001964	Amnioscopy
C0002632	PT	10001964	Amnioscopy
C0002636	LT	10064100	Amniotic band syndrome
C0002636	PT	10064100	Amniotic band syndrome
C0002688	LT	10061627	Amputation
C0002688	PT	10061627	Amputation
C0002688	LT	10002010	Amputation NOS
