ADR,Name,Frequency,Count
se__C0948011,Cervix haemorrhage uterine,0.001,1
se__C0161446,Brachial plexus injury,0.001,1
se__C0178316,Upper limb fracture,0.001,1
se__C0178282,Abdominal hernia,0.001,1
se__C0175683,Argininosuccinate synthetase deficiency,0.001,1
se__C0162852,Pityriasis lichenoides et varioliformis acuta,0.001,1
se__C0156279,Urethral syndrome,0.001,1
se__C0156273,Bladder diverticulum,0.001,1
se__C0156181,Peritoneal adhesions,0.001,1
se__C0948395,Gastrointestinal hypermotility,0.001,1
se__C0948380,Colorectal cancer metastatic,0.001,1
se__C0948376,Electrocardiogram ST-T segment abnormal,0.001,1
se__C0948342,Citrate toxicity,0.001,1
se__C0948333,Neutrophil percentage increased,0.001,1
se__C0948309,Pseudohyperkalaemia,0.001,1
se__C0948298,Tympanic membrane hyperaemia,0.001,1
se__C0948284,Corneal decompensation,0.001,1
se__C0948282,Conjunctival bleb,0.001,1
se__C0159877,Ankle fracture,0.001,1
se__C0159658,Clavicle fracture,0.001,1
se__C0159076,Choluria,0.001,1
se__C0159020,Convulsion neonatal,0.001,1
se__C0155713,Papillary muscle rupture,0.001,1
se__C0155616,Secondary hypertension,0.001,1
se__C0155540,Otorrhoea,0.001,1
se__C0155503,Vertigo CNS origin,0.001,1
se__C0155428,Otosalpingitis,0.001,1
se__C0155388,External ear disorder,0.001,1
se__C0948817,Catheter site inflammation,0.001,1
se__C0948693,Post procedural discharge,0.001,1
se__C0948610,Abdominal strangulated hernia,0.001,1
se__C0948522,Ocular vascular disorder,0.001,1
se__C0948447,Chromosomal mutation,0.001,1
se__C0158266,Intervertebral disc degeneration,0.001,1
se__C0156384,Vaginal dysplasia,0.001,1
se__C0156353,Uterovaginal prolapse,0.001,1
se__C0156339,Vulval ulceration,0.001,1
se__C0156318,Breast fibrosis,0.001,1
se__C0155216,Eyelid bleeding,0.001,1
se__C0155170,Conjunctival cyst,0.001,1
se__C0154769,Myopathy toxic,0.001,1
se__C1095967,Psychiatric evaluation abnormal,0.001,1
se__C1095923,Febrile bone marrow aplasia,0.001,1
se__C0949091,Candida sepsis,0.001,1
se__C0948978,Catheter site cellulitis,0.001,1
se__C0948976,Leukaemia cutis,0.001,1
se__C0948862,Detachment of retinal pigment epithelium,0.001,1
se__C0948857,Electrocardiogram repolarisation abnormality,0.001,1
se__C0155964,Atrophic glossitis,0.001,1
se__C0155947,Dentofacial anomaly,0.001,1
se__C0155866,Pneumonia anthrax,0.001,1
se__C0155796,Varicose veins vulval,0.001,1
se__C0155789,Oesophageal varices haemorrhage,0.001,1
se__C0155765,Microangiopathy,0.001,1
se__C0153619,Ureteric cancer,0.001,1
se__C0153618,Malignant neoplasm of renal pelvis,0.001,1
se__C0153594,Testis cancer,0.001,1
se__C0153452,Gallbladder cancer,0.001,1
se__C0153392,Nasopharyngeal cancer,0.001,1
se__C0153349,Tongue neoplasm malignant stage unspecified,0.001,1
se__C0153252,Systemic candida,0.001,1
se__C0152972,Pseudomonal sepsis,0.001,1
se__C1096252,Cardiac discomfort,0.001,1
se__C1096195,Thyroglobulin increased,0.001,1
se__C1096188,Puncture site reaction,0.001,1
se__C1096119,Cardiac valve replacement complication,0.001,1
se__C1096082,Oesophageal discomfort,0.001,1
se__C1096036,Infusion site warmth,0.001,1
se__C0155369,Vitreous prolapse,0.001,1
se__C1096368,Mean platelet volume decreased,0.001,1
se__C1096303,Lipase abnormal,0.001,1
se__C1096286,Transaminases decreased,0.001,1
se__C1096275,Increased viscosity of bronchial secretion,0.001,1
se__C1096272,Vanishing bile duct syndrome,0.001,1
se__C1096262,Escherichia bacteraemia,0.001,1
se__C1096256,Cryptococcal cutaneous infection,0.001,1
se__C0152915,Disseminated tuberculosis,0.001,1
se__C0152486,Salmonella sepsis,0.001,1
se__C0152447,Urethral discharge,0.001,1
se__C0152436,Imperforate hymen,0.001,1
se__C0152173,Ventricular flutter,0.001,1
se__C0152167,Anal spasm,0.001,1
se__C0154041,Parathyroid tumour benign,0.001,1
se__C0154002,Benign vaginal neoplasm,0.001,1
se__C1096708,Vessel puncture site inflammation,0.001,1
se__C1096701,Medical device discomfort,0.001,1
se__C1096691,BK virus infection,0.001,1
se__C1096670,Antitussive therapy,0.001,1
se__C1096529,Carotid pulse,0.001,1
se__C1096496,Blood testosterone free increased,0.001,1
se__C1096393,Body fat disorder,0.001,1
se__C1096387,Chemical eye injury,0.001,1
se__C0151757,Lenticular pigmentation,0.001,1
se__C0151739,Small intestinal perforation,0.001,1
se__C0151728,Immunoglobulins decreased,0.001,1
se__C0151879,Electrocardiogram QT shortened,0.001,1
se__C0151977,Small intestine ulcer,0.001,1
se__C0151964,Conjunctival ulcer,0.001,1
se__C0152149,Ovulation pain,0.001,1
se__C0149911,Hypercalcaemia of malignancy,0.001,1
se__C1112349,Spinal cord paralysis,0.001,1
se__C1112341,Connective tissue inflammation,0.001,1
se__C1112261,Gaze palsy,0.001,1
se__C1112257,Oral pustule,0.001,1
se__C1112209,Abdominal infection,0.001,1
se__C1096714,Infusion site infection,0.001,1
se__C0151478,Neurotransmitter level altered,0.001,1
se__C0151555,Cinchonism,0.001,1
se__C0151536,Bronchostenosis,0.001,1
se__C0151584,Injection site cyst,0.001,1
se__C0151665,Globulins decreased,0.001,1
se__C0151650,Kidney fibrosis,0.001,1
se__C0151620,Hypertensive encephalopathy,0.001,1
se__C0151614,Electrolyte depletion,0.001,1
se__C0151684,Granuloma skin,0.001,1
se__C0149770,Rectal abscess,0.001,1
se__C0149766,Purpura senile,0.001,1
se__C0149732,Muscle rupture,0.001,1
se__C1112616,Loss of proprioception,0.001,1
se__C1112613,Neonatal tachypnoea,0.001,1
se__C1112537,Neurological examination abnormal,0.001,1
se__C1112469,Cytomegalovirus syndrome,0.001,1
se__C1112413,Peripheral artery aneurysm,0.001,1
se__C1112376,Optic disc vascular disorder,0.001,1
se__C1112371,Anterior chamber pigmentation,0.001,1
se__C0151190,Palpable purpura,0.001,1
se__C0150045,Urge incontinence,0.001,1
se__C0149985,Secondary syphilis,0.001,1
se__C0149976,Proctitis herpes,0.001,1
se__C0149958,Complex partial seizures,0.001,1
se__C0149925,Small cell lung cancer,0.001,1
se__C0149709,Hepatitis B surface antigen positive,0.001,1
se__C0149651,Clubbing,0.001,1
se__C0149531,Pelvic fracture,0.001,1
se__C1141926,Abdominal sepsis,0.001,1
se__C1141890,Long QT syndrome congenital,0.001,1
se__C1141885,Sclerosing encapsulating peritonitis,0.001,1
se__C1141884,Head lag abnormal,0.001,1
se__C1141863,Lymphocyte transformation test positive,0.001,1
se__C1136085,Monoclonal gammopathy,0.001,1
se__C1112789,Rectal spasm,0.001,1
se__C1112773,Post procedural diarrhoea,0.001,1
se__C1112762,Blood methaemoglobin present,0.001,1
se__C1112712,Haematology test abnormal,0.001,1
se__C0149892,Gingival abscess,0.001,1
se__C0149782,Squamous cell carcinoma of lung,0.001,1
se__C0149771,Rectocele,0.001,1
se__C0085128,Cardiac output increased,0.001,1
se__C0085084,Motor neurone disease,0.001,1
se__C0085074,Granuloma annulare,0.001,1
se__C1142113,Hyperalbuminaemia,0.001,1
se__C1142086,Vitamin E decreased,0.001,1
se__C1142072,Oral toxicity,0.001,1
se__C1142034,Tandem gait test abnormal,0.001,1
se__C1141959,ECG signs of myocardial ischaemia,0.001,1
se__C1141936,Purple glove syndrome,0.001,1
se__C0085273,Erythema infectiosum,0.001,1
se__C0085621,Spastic paralysis,0.001,1
se__C0085650,Purpura fulminans,0.001,1
se__C0086227,Enterobiasis,0.001,1
se__C0085740,Mendelson's syndrome,0.001,1
se__C0085697,Pyelonephritis chronic,0.001,1
se__C0149721,Left ventricular hypertrophy,0.001,1
se__C1142272,Neutrophilic dermatosis,0.001,1
se__C1142249,Infected cyst,0.001,1
se__C1142248,Pseudomononucleosis,0.001,1
se__C1142175,Shunt thrombosis,0.001,1
se__C1142166,Brugada syndrome,0.001,1
se__C1142163,Intestinal mass,0.001,1
se__C1142151,Scleromalacia,0.001,1
se__C1142133,Adnexa uteri mass,0.001,1
se__C1142115,Enterocolitis infectious,0.001,1
se__C0043325,Xanthomatosis,0.001,1
se__C0080178,Spina bifida,0.001,1
se__C0080174,Spina bifida occulta,0.001,1
se__C0079772,T-cell lymphoma,0.001,1
se__C0078911,HIV associated nephropathy,0.001,1
se__C0085160,Hidradenitis,0.001,1
se__C0041601,Ulna fracture,0.001,1
se__C0041428,Conjoined twins,0.001,1
se__C0041408,Turner's syndrome,0.001,1
se__C1167661,Cerebral vasoconstriction,0.001,1
se__C1153706,Endometrial adenocarcinoma,0.001,1
se__C1142530,Vitamin K decreased,0.001,1
se__C1142523,Hypothrombinaemia,0.001,1
se__C1142492,Postinfarction angina,0.001,1
se__C1142470,Suture related complication,0.001,1
se__C1142459,Application site scar,0.001,1
se__C1142446,Bicytopenia,0.001,1
se__C1142397,Myoglobinaemia,0.001,1
se__C0042258,Vaginal neoplasm,0.001,1
se__C0042140,Uterine prolapse,0.001,1
se__C0042139,Uterine perforation,0.001,1
se__C0042568,Vertebrobasilar insufficiency,0.001,1
se__C1167863,Retinogram abnormal,0.001,1
se__C1167842,Tobacco withdrawal symptoms,0.001,1
se__C1167783,Mucosal excoriation,0.001,1
se__C1167761,Fungal test positive,0.001,1
se__C1167760,Bacterial test positive,0.001,1
se__C1167745,Extremity necrosis,0.001,1
se__C1167686,Nail toxicity,0.001,1
se__C1167677,Infrequent bowel movements,0.001,1
se__C1167675,Application site folliculitis,0.001,1
se__C0041307,Bovine tuberculosis,0.001,1
se__C0040961,Tricuspid valve incompetence,0.001,1
se__C0040953,Trichotillomania,0.001,1
se__C0040580,Tracheal disorder,0.001,1
se__C0041959,Ureteritis,0.001,1
se__C0041825,Tympanic membrane disorder,0.001,1
se__C0041782,Deficiency anaemia,0.001,1
se__C0038538,Subdural effusion,0.001,1
se__C0038463,Strongyloidiasis,0.001,1
se__C1261167,Sperm concentration,0.001,1
se__C1260871,Acetonaemia,0.001,1
se__C1168175,Incision site haematoma,0.001,1
se__C1168134,Anti-thyroid antibody positive,0.001,1
se__C1167870,Graft dysfunction,0.001,1
se__C0039504,Tendon injury,0.001,1
se__C0039128,Syphilis,0.001,1
se__C0039075,Syndactyly,0.001,1
se__C0040028,Essential thrombocythaemia,0.001,1
se__C0039685,Fallot's tetralogy,0.001,1
se__C0040427,Tooth malformation,0.001,1
se__C0040411,Tongue neoplasm,0.001,1
se__C0040252,Body tinea,0.001,1
se__C1262091,Lymphocytic infiltration,0.001,1
se__C1262044,Antibody test negative,0.001,1
se__C1262022,Freezing phenomenon,0.001,1
se__C1262018,Transplant failure,0.001,1
se__C1262006,Sinusitis bacterial,0.001,1
se__C1262005,Ischaemic cerebral infarction,0.001,1
se__C1261989,Hepatic enzyme decreased,0.001,1
se__C0036982,Shock haemorrhagic,0.001,1
se__C0036502,Sebaceous gland disorder,0.001,1
se__C0038012,Spondylitis,0.001,1
se__C0037933,Spinal disorder,0.001,1
se__C0038166,Staphylococcal skin infection,0.001,1
se__C0038165,Staphylococcal scalded skin syndrome,0.001,1
se__C0038987,Sweat gland tumour,0.001,1
se__C0038833,Superior vena cava syndrome,0.001,1
se__C0034215,Pyometra,0.001,1
se__C1271398,Pigment dispersion syndrome,0.001,1
se__C1263855,Lumbar radiculopathy,0.001,1
se__C1262299,Oral papilloma,0.001,1
se__C1262168,Cholecystitis infective,0.001,1
se__C1262165,High turnover osteopathy,0.001,1
se__C1262149,Vaginal erosion,0.001,1
se__C0035127,Repetitive strain injury,0.001,1
se__C0035126,Reperfusion injury,0.001,1
se__C0035021,Relapsing fever,0.001,1
se__C0035459,Rhinitis atrophic,0.001,1
se__C0036412,Scleral disorder,0.001,1
se__C0036337,Schizoaffective disorder,0.001,1
se__C0036203,Cutaneous sarcoidosis,0.001,1
se__C0036117,Salmonellosis,0.001,1
se__C0036114,Gastroenteritis salmonella,0.001,1
se__C0033797,Pseudodementia,0.001,1
se__C1295585,Decreased vibratory sense,0.001,1
se__C1292769,B-cell type acute leukaemia,0.001,1
se__C1285373,Respiratory disorder neonatal,0.001,1
se__C1283048,Iron binding capacity total,0.001,1
se__C1279296,Chronic leukaemia,0.001,1
se__C1279247,Genitourinary tract infection,0.001,1
se__C1276146,Lymphoma cutis,0.001,1
se__C1275515,Venomous bite,0.001,1
se__C1272092,Impaired fasting glucose,0.001,1
se__C0034088,Pulmonary valve incompetence,0.001,1
se__C0034050,Alveolar proteinosis,0.001,1
se__C0034040,Postpartum disorder,0.001,1
se__C0034888,Rectal prolapse,0.001,1
se__C0034628,Radius fracture,0.001,1
se__C0034544,Radiculitis,0.001,1
se__C0032319,Pneumopericardium,0.001,1
se__C0032302,Pneumonia mycoplasmal,0.001,1
se__C0032045,Placental disorder,0.001,1
se__C1321587,Respiratory depth increased,0.001,1
se__C1321523,Wandering pacemaker,0.001,1
se__C1321133,Bronchial haemorrhage,0.001,1
se__C1319200,Confusion postoperative,0.001,1
se__C1295666,Thyroxine decreased,0.001,1
se__C0032776,Postmenopausal haemorrhage,0.001,1
se__C0032739,Tuberculin test positive,0.001,1
se__C0033375,Prolactinoma,0.001,1
se__C0033075,Presbyopia,0.001,1
se__C0033999,Pterygium,0.001,1
se__C0033949,Male orgasmic disorder,0.001,1
se__C0033948,Female orgasmic disorder,0.001,1
se__C0033936,Alcoholic psychosis,0.001,1
se__C1328447,Brain stem syndrome,0.001,1
se__C1328428,Mycobacterium test,0.001,1
se__C1328386,Breast fibroma,0.001,1
se__C1328358,Pedal pulse decreased,0.001,1
se__C1328327,Gastrooesophageal sphincter insufficiency,0.001,1
se__C0030409,Paracoccidioides infection,0.001,1
se__C0030293,Pancreatic insufficiency,0.001,1
se__C0030790,Pelvic infection,0.001,1
se__C0030785,Pelvic abscess,0.001,1
se__C0030783,Nicotinic acid deficiency,0.001,1
se__C0030521,Parathyroid tumour,0.001,1
se__C0030489,Paraproteinaemia,0.001,1
se__C0030793,Pelvic neoplasm,0.001,1
se__C0031873,Pica,0.001,1
se__C0031190,Persistent foetal circulation,0.001,1
se__C0032460,Polycystic ovaries,0.001,1
se__C1411873,Ovulation disorder,0.001,1
se__C1407280,Peripheral artery thrombosis,0.001,1
se__C1388177,Aortic arteriosclerosis,0.001,1
se__C1384670,Single umbilical artery,0.001,1
se__C1328519,Retinal pigment epithelial tear,0.001,1
se__C0027830,Neurofibroma,0.001,1
se__C0027794,Neural tube defect,0.001,1
se__C0028817,Ochronosis,0.001,1
se__C0028432,Nasal disorder,0.001,1
se__C0028242,Nocardiosis,0.001,1
se__C0028043,Nicotine dependence,0.001,1
se__C0029405,Brown tumour,0.001,1
se__C0029400,Osteitis,0.001,1
se__C0029883,Middle ear effusion,0.001,1
se__C0029464,Osteosclerosis,0.001,1
se__C0029434,Osteogenesis imperfecta,0.001,1
se__C0025312,Meningomyelocele,0.001,1
se__C0025297,Meningitis viral,0.001,1
se__C1455780,Aortic valve sclerosis,0.001,1
se__C1444680,Posterior capsule opacification,0.001,1
se__C1442998,Colpocele,0.001,1
se__C1442968,Anastomotic ulcer,0.001,1
se__C1442839,Hypervitaminosis D,0.001,1
se__C1442835,Solar dermatitis,0.001,1
se__C0026751,Multiparous,0.001,1
se__C0026633,Congenital oral malformation,0.001,1
se__C0026272,Mixed connective tissue disease,0.001,1
se__C0026918,Mycobacterial infection,0.001,1
se__C0026916,Mycobacterium avium complex infection,0.001,1
se__C0027134,Myringitis,0.001,1
se__C0027073,Myofascial pain syndrome,0.001,1
se__C0027562,Negativism,0.001,1
se__C0024441,Macular hole,0.001,1
se__C1504561,Hypophagia,0.001,1
se__C1504452,Implant site pain,0.001,1
se__C1504438,Cerebral artery stenosis,0.001,1
se__C1504435,Electrocardiogram QT interval abnormal,0.001,1
se__C1504419,Pelvic haemorrhage,0.001,1
se__C1504411,Post procedural oedema,0.001,1
se__C1504405,Pyramidal tract syndrome,0.001,1
se__C1504363,Body temperature fluctuation,0.001,1
se__C0025064,Mediastinitis,0.001,1
se__C0025063,Mediastinum neoplasm,0.001,1
se__C0025062,Pneumomediastinum,0.001,1
se__C0024904,Mastoiditis,0.001,1
se__C0024899,Mastocytosis,0.001,1
se__C0025500,Mesothelioma,0.001,1
se__C0025319,Menopausal disorder,0.001,1
se__C0023321,Lentigo,0.001,1
se__C0023267,Leiomyoma,0.001,1
se__C1527410,Renal rickets,0.001,1
se__C1527383,Morphoea,0.001,1
se__C1510586,Autism spectrum disorder,0.001,1
se__C0023860,Listeriosis,0.001,1
se__C0023794,Lipidosis,0.001,1
se__C0023653,Lichenification,0.001,1
se__C0024198,Lyme disease,0.001,1
se__C0024110,Lung abscess,0.001,1
se__C0024003,Lordosis,0.001,1
se__C0023891,Cirrhosis alcoholic,0.001,1
se__C0024790,Paroxysmal nocturnal haemoglobinuria,0.001,1
se__C0024633,Mallory-Weiss syndrome,0.001,1
se__C0024623,Gastric cancer,0.001,1
se__C0024530,Malaria,0.001,1
se__C0022410,Joint instability,0.001,1
se__C0022362,Jaw disorder,0.001,1
se__C1536916,Blood cholesterol decreased,0.001,1
se__C1536009,Oesophageal oedema,0.001,1
se__C1535970,Blood count abnormal,0.001,1
se__C1535948,Retinal aneurysm,0.001,1
se__C1535919,Foetal chromosome abnormality,0.001,1
se__C0023186,Learning disorder,0.001,1
se__C0023051,Laryngeal disorder,0.001,1
se__C0022821,Kyphosis,0.001,1
se__C0022735,Klinefelter's syndrome,0.001,1
se__C0023484,Plasma cell leukaemia,0.001,1
se__C0023480,Chronic myelomonocytic leukaemia,0.001,1
se__C0023448,Lymphocytic leukaemia,0.001,1
se__C0023440,Erythroleukaemia,0.001,1
se__C0023370,Leriche syndrome,0.001,1
se__C0020604,Hypochondriasis,0.001,1
se__C0020599,Hypocalciuria,0.001,1
se__C1609496,Eyelid exfoliation,0.001,1
se__C1608953,Intestinal diaphragm disease,0.001,1
se__C1608942,Complication of device insertion,0.001,1
se__C1608408,Malignant transformation,0.001,1
se__C1608399,Dark circles under eyes,0.001,1
se__C0021100,Bullous impetigo,0.001,1
se__C0021080,Immunosuppression,0.001,1
se__C0020981,Angioimmunoblastic T-cell lymphoma,0.001,1
se__C0021670,Insulinoma,0.001,1
se__C0021776,Intermittent explosive disorder,0.001,1
se__C0022656,Renal cortical necrosis,0.001,1
se__C0022578,Keratoconus,0.001,1
se__C0022541,Kearns-Sayre syndrome,0.001,1
se__C0022504,Kaposi's varicelliform eruption,0.001,1
se__C0019621,Langerhans' cell histiocytosis,0.001,1
se__C0019569,Congenital megacolon,0.001,1
se__C1695895,Angiodermatitis,0.001,1
se__C1695782,Cerebral hypoperfusion,0.001,1
se__C1611162,Plateletcrit decreased,0.001,1
se__C1611157,Hepatic infiltration eosinophilic,0.001,1
se__C1610622,Coital bleeding,0.001,1
se__C0020455,Hypergammaglobulinaemia,0.001,1
se__C0020450,Hyperemesis gravidarum,0.001,1
se__C0020312,Hydrothorax,0.001,1
se__C0020305,Hydrops foetalis,0.001,1
se__C0020498,Senile ankylosing vertebral hyperostosis,0.001,1
se__C0020595,Hypoaldosteronism,0.001,1
se__C0020545,Renovascular hypertension,0.001,1
se__C0020641,Hypopyon,0.001,1
se__C0018975,Blindness day,0.001,1
se__C1697747,Laryngeal haemorrhage,0.001,1
se__C1697642,Puncture site pain,0.001,1
se__C1696942,Application site cellulitis,0.001,1
se__C1696708,Prehypertension,0.001,1
se__C1696704,Ovarian haemorrhage,0.001,1
se__C1696701,Dermatillomania,0.001,1
se__C1695896,Infusion site hypersensitivity,0.001,1
se__C0019154,Hepatic vein thrombosis,0.001,1
se__C0019555,Developmental hip dysplasia,0.001,1
se__C0019338,Herpangina,0.001,1
se__C0020224,Polyhydramnios,0.001,1
se__C0019880,Homocystinuria,0.001,1
se__C0019623,Malignant histiocytosis,0.001,1
se__C0017412,Genital disorder male,0.001,1
se__C1735322,Injection site pallor,0.001,1
se__C1720771,Hydrocele,0.001,1
se__C1710632,Vessel perforation,0.001,1
se__C1704375,Hypophosphataemic rickets,0.001,1
se__C1704327,Bone sarcoma,0.001,1
se__C1704202,Aspermia,0.001,1
se__C1698976,Infusion site urticaria,0.001,1
se__C1697973,Infusion site paraesthesia,0.001,1
se__C1697943,Epidermal growth factor receptor decreased,0.001,1
se__C0018128,Vascular graft occlusion,0.001,1
se__C0018081,Gonorrhoea,0.001,1
se__C0017662,Glomerulonephritis membranoproliferative,0.001,1
se__C0018552,Hamartoma,0.001,1
se__C0018816,Cardiac septal defect,0.001,1
se__C0018994,Haemobilia,0.001,1
se__C0016842,Pectus excavatum,0.001,1
se__C0016770,Frustration,0.001,1
se__C0016751,Fructose intolerance,0.001,1
se__C0016664,Stress fracture,0.001,1
se__C1863751,Wound healing normal,0.001,1
se__C1859270,Slow speech,0.001,1
se__C1744601,Heart rate abnormal,0.001,1
se__C1740793,Post-tussive vomiting,0.001,1
se__C1739111,Foetal anticonvulsant syndrome,0.001,1
se__C1737329,Dysmorphism,0.001,1
se__C1737214,Injection site injury,0.001,1
se__C1737211,Hypoglycaemic unconsciousness,0.001,1
se__C1735647,Mixed liver injury,0.001,1
se__C0017416,Female reproductive neoplasm,0.001,1
se__C1956391,Temporal arteritis,0.001,1
se__C1955743,Mineralocorticoid deficiency,0.001,1
se__C1868998,Cytotoxic oedema,0.001,1
se__C1868843,Injection site dryness,0.001,1
se__C1868829,Ultrasound ovary abnormal,0.001,1
se__C1868821,Immediate post-injection reaction,0.001,1
se__C1868790,Intranasal hypoaesthesia,0.001,1
se__C1868771,Peritoneal cloudy effluent,0.001,1
se__C1868730,Genital discomfort,0.001,1
se__C1868710,Bronchial secretion retention,0.001,1
se__C1868709,Activation syndrome,0.001,1
se__C0016045,Fibroma,0.001,1
se__C0015923,Foetal alcohol syndrome,0.001,1
se__C0016542,Foreign body,0.001,1
se__C0017150,Gastrinoma,0.001,1
se__C0017105,Gas gangrene,0.001,1
se__C1963864,Myelodysplastic syndrome transformation,0.001,1
se__C1963824,Shortened cervix,0.001,1
se__C1963775,Cytarabine syndrome,0.001,1
se__C1963747,Herpes simplex hepatitis,0.001,1
se__C1963718,Oculorespiratory syndrome,0.001,1
se__C1959797,Allergic hepatitis,0.001,1
se__C0014859,Oesophageal neoplasm,0.001,1
se__C0014850,Oesophageal atresia,0.001,1
se__C0014752,Erythrasma,0.001,1
se__C0014718,Intertrigo candida,0.001,1
se__C0014714,Ergot poisoning,0.001,1
se__C0015401,Foreign body in eye,0.001,1
se__C0015674,Chronic fatigue syndrome,0.001,1
se__C0015523,Factor XI deficiency,0.001,1
se__C0015467,Facial neuralgia,0.001,1
se__C0015407,Eye infection viral,0.001,1
se__C0011757,Developmental coordination disorder,0.001,1
se__C0011636,Dermatophytosis,0.001,1
se__C2242595,Mucosal atrophy,0.001,1
se__C2242574,Compulsive sexual behaviour,0.001,1
se__C2242496,Parotid gland inflammation,0.001,1
se__C0012746,Dissociative disorder,0.001,1
se__C0012624,Intervertebral discitis,0.001,1
se__C0011876,Cataract diabetic,0.001,1
se__C0011875,Diabetic vascular disorder,0.001,1
se__C0013537,Eclampsia,0.001,1
se__C0014170,Endometrial neoplasm,0.001,1
se__C0014059,Acute disseminated encephalomyelitis,0.001,1
se__C0014571,Epiphysiolysis,0.001,1
se__C0014550,Myoclonic epilepsy,0.001,1
se__C0014541,Epiglottitis,0.001,1
se__C0014306,Enophthalmos,0.001,1
se__C2363914,Post procedural constipation,0.001,1
se__C2350530,Bronchopulmonary aspergillosis,0.001,1
se__C2314994,Spinal cord infarction,0.001,1
se__C2267233,Hypotonia neonatal,0.001,1
se__C2242727,Tumour compression,0.001,1
se__C0010036,Corneal dystrophy,0.001,1
se__C0010695,Cystocele,0.001,1
se__C0010598,Cyclothymic disorder,0.001,1
se__C0010495,Cutis laxa,0.001,1
se__C0010278,Craniosynostosis,0.001,1
se__C0010266,Cranial nerve disorder,0.001,1
se__C0011269,Vascular dementia,0.001,1
se__C0010930,Dacryocystitis,0.001,1
se__C0011854,Type 1 diabetes mellitus,0.001,1
se__C2752009,White matter lesion,0.001,1
se__C2748362,Vulvovaginal erythema,0.001,1
se__C2747852,Device related sepsis,0.001,1
se__C2745924,Platelet aggregation increased,0.001,1
se__C2732728,Body height decreased,0.001,1
se__C2721578,Pulmonary oil microembolism,0.001,1
se__C2712054,Dyspnoea at rest,0.001,1
se__C0007131,Non-small cell lung cancer,0.001,1
se__C0007120,Bronchioloalveolar carcinoma,0.001,1
se__C0007115,Thyroid cancer,0.001,1
se__C0007113,Rectal cancer,0.001,1
se__C0007107,Laryngeal cancer,0.001,1
se__C0007099,Carcinoma in situ,0.001,1
se__C0007095,Carcinoid tumour,0.001,1
se__C0007282,Carotid artery stenosis,0.001,1
se__C0007274,Carotid artery thrombosis,0.001,1
se__C2609176,Kounis syndrome,0.001,1
se__C2609174,Tongue pigmentation,0.001,1
se__C2609148,Barium impaction,0.001,1
se__C2609096,Genital hypoaesthesia,0.001,1
se__C2609073,Splenic peliosis,0.001,1
se__C2609041,Mechanical urticaria,0.001,1
se__C0007863,Occipital neuralgia,0.001,1
se__C0007684,Central nervous system infection,0.001,1
se__C0008149,Chlamydial infection,0.001,1
se__C0007873,Cervix neoplasm,0.001,1
se__C0007871,Cervical incompetence,0.001,1
se__C0009088,Cluster headache,0.001,1
se__C0008733,Chylothorax,0.001,1
se__C0008626,Cytogenetic abnormality,0.001,1
se__C0008497,Choriocarcinoma,0.001,1
se__C0009768,Conjunctivitis bacterial,0.001,1
se__C0001206,Acromegaly,0.001,1
se__C3495559,Juvenile idiopathic arthritis,0.001,1
se__C3267019,Central nervous system haemorrhage,0.001,1
se__C3203695,Noninfectious peritonitis,0.001,1
se__C3203690,Deficiency of bile secretion,0.001,1
se__C3203531,Post-traumatic neck syndrome,0.001,1
se__C0001849,AIDS dementia complex,0.001,1
se__C0001816,Agnosia,0.001,1
se__C0001733,Factor I deficiency,0.001,1
se__C0001707,Aerophagia,0.001,1
se__C0001511,Adhesion,0.001,1
se__C0001486,Adenovirus infection,0.001,1
se__C0002631,Amniotic cavity infection,0.001,1
se__C0001957,Delirium tremens,0.001,1
se__C0002949,Artery dissection,0.001,1
se__C0553576,Systemic mycosis,0.001,1
se__C0549536,Monocyte count decreased,0.001,1
se__C0558919,Stress at work,0.001,1
se__C0558143,Skin maceration,0.001,1
se__C0555358,Morbid thoughts,0.001,1
se__C0553980,Endocardial fibrosis,0.001,1
se__C0553730,Chondrocalcinosis,0.001,1
se__C0000832,Premature separation of placenta,0.001,1
se__C3665795,Microembolism,0.001,1
se__C3665770,Acquired lipoatrophic diabetes,0.001,1
se__C3665473,Deafness bilateral,0.001,1
se__C3665418,Labile hypertension,0.001,1
se__C3665356,Food intolerance,0.001,1
se__C3544174,Perineal injury,0.001,1
se__C3495827,Lid sulcus deepened,0.001,1
se__C0001231,Ectopic ACTH syndrome,0.001,1
se__C3495442,Phantom pain,0.0,0
se__C0010308,Congenital hypothyroidism,0.0,0
se__C2363784,Recurrence of neuromuscular blockade,0.0,0
se__C0017636,Glioblastoma,0.0,0
se__C1868693,Localised intraabdominal fluid collection,0.0,0
se__C1697438,Cystitis viral,0.0,0
se__C1697453,Spontaneous haematoma,0.0,0
se__C0019618,Histiocytosis,0.0,0
se__C1262106,Neuromuscular toxicity,0.0,0
se__C1167868,Perinephric collection,0.0,0
se__C1142257,Incision site pain,0.0,0
se__C0151721,Hypogonadism male,0.0,0
se__C1096300,Genital burning sensation,0.0,0
se__C1096071,Type III immune complex mediated reaction,0.0,0
se__C0919939,Graft thrombosis,0.0,0
se__C0919728,Unwanted awareness during anaesthesia,0.0,0
se__C0877401,Sensorimotor disorder,0.0,0
se__C0238457,Renal vein thrombosis,0.0,0
se__C0855565,Beta 2 microglobulin increased,0.0,0
