Dataset,XofN method,Ung or Org,Macro-AUROC,Hamming Loss,Subset Accuracy,Macro-F1,Macro-Recall,Macro-Precision,Ranking Loss,Nodes; Leaves,#XofN; #Feat/XofN,#Ung. Feats,XofN time (s); PCT tr. time (s)
fingerprint_low_freq,XofN VarRed,Ung,0.529,0.25,0.364,0.076,0.07,0.348,0.291,27.6; 14.3,112.0; 4.8,0.9227180257518056,94.7; 0.7
fingerprint_low_freq,XofN VarRed,Org,0.527,0.25,0.363,0.054,0.071,0.364,0.292,27.2; 14.1,112.0; 4.8,0.9227180257518056,94.7; 1.3
fingerprint_high_freq,XofN VarRed,Ung,0.588,0.223,0.505,0.869,0.956,0.799,0.163,42.4; 21.7,110.9; 4.9,2.051675524225857,94.5; 0.7
fingerprint_high_freq,XofN VarRed,Org,0.582,0.229,0.504,0.865,0.947,0.797,0.164,48.0; 24.5,110.9; 4.9,2.051675524225857,94.5; 1.3
fingerprint_cardiac,XofN VarRed,Ung,0.551,0.272,0.365,0.139,0.132,0.389,0.229,52.2; 26.6,111.0; 4.8,2.565815709519825,94.1; 0.7
fingerprint_cardiac,XofN VarRed,Org,0.545,0.276,0.356,0.135,0.118,0.366,0.226,55.8; 28.4,111.0; 4.8,2.565815709519825,94.1; 1.3
CPI_mid_freq,XofN VarRed,Ung,0.602,0.371,0.237,0.447,0.391,0.532,0.266,95.0; 48.0,335.6; 4.7,33.04464430354028,463.5; 0.9
CPI_mid_freq,XofN VarRed,Org,0.604,0.373,0.237,0.455,0.408,0.529,0.277,112.4; 56.7,335.6; 4.7,33.04464430354028,463.5; 2.5
CPI_low_freq,XofN VarRed,Ung,0.598,0.265,0.337,0.261,0.186,0.485,0.285,42.4; 21.7,331.2; 4.8,2.059205900274492,459.8; 0.9
CPI_low_freq,XofN VarRed,Org,0.599,0.266,0.329,0.263,0.189,0.492,0.281,49.0; 25.0,331.2; 4.8,2.059205900274492,459.8; 2.6
CPI_high_freq,XofN VarRed,Ung,0.564,0.22,0.529,0.873,0.964,0.799,0.158,28.6; 14.8,343.6; 4.6,9.274427105187216,466.8; 0.9
CPI_high_freq,XofN VarRed,Org,0.58,0.228,0.517,0.868,0.956,0.795,0.159,33.8; 17.4,343.6; 4.6,9.274427105187216,466.8; 2.6
CPI_cardiac,XofN VarRed,Ung,0.563,0.279,0.344,0.204,0.171,0.459,0.239,46.0; 23.5,355.6; 4.4,24.99709033250133,464.8; 0.9
CPI_cardiac,XofN VarRed,Org,0.567,0.272,0.346,0.266,0.192,0.495,0.243,57.4; 29.2,355.6; 4.4,24.99709033250133,464.8; 2.6
CPI+fingerprint_mid_freq,XofN VarRed,Ung,0.602,0.365,0.255,0.436,0.389,0.508,0.26,134.4; 67.7,448.3; 4.7,28.59234090578184,719.9; 1.2
CPI+fingerprint_mid_freq,XofN VarRed,Org,0.609,0.353,0.268,0.452,0.403,0.526,0.262,157.6; 79.3,448.3; 4.7,28.59234090578184,719.9; 3.6
CPI+fingerprint_low_freq,XofN VarRed,Ung,0.606,0.248,0.352,0.271,0.197,0.471,0.269,58.8; 29.9,439.4; 4.9,3.038092604510439,710.4; 1.3
CPI+fingerprint_low_freq,XofN VarRed,Org,0.607,0.245,0.357,0.29,0.215,0.484,0.269,61.0; 31.0,439.4; 4.9,3.038092604510439,710.4; 3.9
CPI+fingerprint_high_freq,XofN VarRed,Ung,0.585,0.249,0.482,0.85,0.921,0.79,0.158,64.2; 32.6,455.8; 4.7,8.6335905140877,716.8; 1.3
CPI+fingerprint_high_freq,XofN VarRed,Org,0.59,0.245,0.479,0.852,0.92,0.794,0.162,72.4; 36.7,455.8; 4.7,8.6335905140877,716.8; 3.7
CPI+fingerprint_cardiac,XofN VarRed,Ung,0.591,0.27,0.37,0.28,0.21,0.438,0.229,69.2; 35.1,468.7; 4.5,17.578133610087207,702.6; 1.3
CPI+fingerprint_cardiac,XofN VarRed,Org,0.589,0.272,0.368,0.27,0.201,0.426,0.23,77.4; 39.2,468.7; 4.5,17.578133610087207,702.6; 3.9
fingerprint_ten,XofN VarRed,Ung,0.583,0.42,0.064,0.575,0.584,0.572,0.295,149.4; 75.2,109.8; 4.9,0.9645331526271548,94.2; 0.7
fingerprint_ten,XofN VarRed,Org,0.59,0.42,0.063,0.578,0.587,0.573,0.288,158.4; 79.7,109.8; 4.9,0.9645331526271548,94.2; 1.4
CPI_ten,XofN VarRed,Ung,0.623,0.391,0.081,0.608,0.604,0.623,0.274,88.6; 44.8,331.6; 4.8,6.534038555796087,421.4; 0.9
CPI_ten,XofN VarRed,Org,0.619,0.398,0.07,0.597,0.587,0.619,0.275,102.0; 51.5,331.6; 4.8,6.534038555796087,421.4; 2.5
CPI+fingerprint_ten,XofN VarRed,Ung,0.608,0.399,0.075,0.582,0.575,0.595,0.283,142.8; 71.9,442.5; 4.8,6.098225020556583,712.8; 1.2
CPI+fingerprint_ten,XofN VarRed,Org,0.616,0.397,0.078,0.594,0.598,0.596,0.282,166.8; 83.9,442.5; 4.8,6.098225020556583,712.8; 3.9
fingerprint_ten_mid,XofN VarRed,Ung,0.559,0.366,0.124,0.299,0.233,0.453,0.353,89.4; 45.2,110.8; 4.9,1.479104832104781,96.1; 0.7
fingerprint_ten_mid,XofN VarRed,Org,0.574,0.36,0.114,0.321,0.251,0.474,0.341,95.6; 48.3,110.8; 4.9,1.479104832104781,96.1; 1.3
CPI_ten_mid,XofN VarRed,Ung,0.589,0.354,0.118,0.361,0.286,0.532,0.366,61.0; 31.0,329.6; 4.8,28.885797840903702,429.9; 0.9
CPI_ten_mid,XofN VarRed,Org,0.594,0.351,0.116,0.386,0.313,0.53,0.361,78.4; 39.7,329.6; 4.8,28.885797840903702,429.9; 2.7
CPI+fingerprint_ten_mid,XofN VarRed,Ung,0.593,0.338,0.131,0.349,0.267,0.525,0.346,82.2; 41.6,438.4; 4.8,30.176839797602952,697.8; 1.2
CPI+fingerprint_ten_mid,XofN VarRed,Org,0.602,0.343,0.132,0.36,0.286,0.51,0.346,96.2; 48.6,438.4; 4.8,30.176839797602952,697.8; 3.7
