dataset,label,pruning,include_original_features,averageAUROC,FOne,Precision,Recall,nodes,leaves,#constr_feats,training_time
CPI+fingerprint_low_freq,se_C0018524,True,with_org,0.61746788,0.4302164640349056,0.48246915293076426,0.3950917020649347,165.2,83.1,4.5,3.1007885500090198
CPI+fingerprint_low_freq,se_C0020580,False,no_org,0.54653079,0.2509458016468323,0.3053035928207553,0.2384533317722973,212.6,106.8,320.1,0.8366273200022988
CPI+fingerprint_low_freq,se_C0020580,False,with_org,0.60694578,0.4041881272243085,0.3824158031906475,0.43857387835836115,348.8,174.9,320.1,3.4920635599875824
CPI+fingerprint_low_freq,se_C0020580,True,no_org,0.55880039,0.2467606170827689,0.410157616892911,0.19280171424567977,74.0,37.5,320.1,0.8366273200022988
CPI+fingerprint_low_freq,se_C0020580,True,with_org,0.5963980400000001,0.4130248876328702,0.46971418697450673,0.37811084690395036,177.8,89.4,320.1,3.4920635599875824
CPI+fingerprint_low_freq,se_C0031117,False,no_org,0.540511,0.06209974236290026,0.19603174603174606,0.03840964590964591,12.2,6.6,5.5,0.2665198600036092
CPI+fingerprint_low_freq,se_C0031117,False,with_org,0.59794094,0.39226166259528356,0.37489272217432135,0.4233451901200757,338.6,169.8,5.5,3.1118911799974738
CPI+fingerprint_low_freq,se_C0031117,True,no_org,0.5075000000000001,0.00909090909090909,0.05,0.005,1.6,1.3,5.5,0.2665198600036092
CPI+fingerprint_low_freq,se_C0031117,True,with_org,0.5941281,0.3734851949531044,0.4382817073606054,0.33346556920069503,178.8,89.9,5.5,3.1118911799974738
CPI+fingerprint_low_freq,se_C0035078,False,no_org,0.56216405,0.11663816511692013,0.37934173669467786,0.07614627457369393,51.6,26.3,13.8,0.3075172299868427
CPI+fingerprint_low_freq,se_C0035078,False,with_org,0.62431962,0.42876448559833646,0.42007459228521843,0.44981787088281144,315.0,158.0,13.8,2.9734714600024743
CPI+fingerprint_low_freq,se_C0035078,True,no_org,0.52129395,0.05318517848533706,0.33333333333333337,0.030140392015392016,5.4,3.2,13.8,0.3075172299868427
CPI+fingerprint_low_freq,se_C0035078,True,with_org,0.61662962,0.40102818958452247,0.47545798740026246,0.3526881653057375,177.4,89.2,13.8,2.9734714600024743
CPI+fingerprint_low_freq,se_C0267792,False,no_org,0.56492847,0.10616368581330837,0.17023809523809524,0.08690663519538422,46.4,23.7,16.8,0.3111620899988338
CPI+fingerprint_low_freq,se_C0267792,False,with_org,0.5876715100000001,0.37627689281952786,0.35907361560635814,0.40337480492862643,330.8,165.9,16.8,2.828633779997472
CPI+fingerprint_low_freq,se_C0267792,True,no_org,0.54295279,0.06255050505050505,0.10710622710622711,0.045127196433254656,8.6,4.8,16.8,0.3111620899988338
CPI+fingerprint_low_freq,se_C0267792,True,with_org,0.56798921,0.3549507686108838,0.40380051570853226,0.3231551890068989,201.2,101.1,16.8,2.828633779997472
CPI+fingerprint_mid_freq,se_C0003467,False,no_org,0.57698998,0.28319145240225296,0.4770875532760779,0.23128278754388884,89.6,45.3,156.7,0.5333512899815105
CPI+fingerprint_mid_freq,se_C0003467,False,with_org,0.57982182,0.4914489003688656,0.46475882740104923,0.5238520612643327,408.4,204.7,156.7,3.02484112001257
CPI+fingerprint_mid_freq,se_C0003467,True,no_org,0.54260286,0.17446922876716742,0.40081418648964284,0.1362611131289248,32.0,16.5,156.7,0.5333512899815105
CPI+fingerprint_mid_freq,se_C0003467,True,with_org,0.59418536,0.4735879904875908,0.4899690234134434,0.4609301144417546,276.8,138.9,156.7,3.02484112001257
CPI+fingerprint_mid_freq,se_C0008031,False,no_org,0.5157421857142858,0.25977467781286084,0.388384715588363,0.22702791724183544,101.57142857142857,51.285714285714285,55.0,0.38258291428376523
CPI+fingerprint_mid_freq,se_C0008031,False,with_org,0.5492034571428571,0.45551092156595285,0.4425816794968737,0.4746390869915264,435.57142857142856,218.28571428571428,55.0,2.8834701428422704
CPI+fingerprint_mid_freq,se_C0008031,True,no_org,0.5222770285714285,0.20065028368156726,0.3670377241805813,0.1587922299872297,39.0,20.0,55.0,0.38258291428376523
CPI+fingerprint_mid_freq,se_C0008031,True,with_org,0.5392199857142856,0.43434980554471775,0.4629390833546224,0.4166286032719439,292.7142857142857,146.85714285714286,55.0,2.8834701428422704
CPI+fingerprint_mid_freq,se_C0020538,False,no_org,0.5390855,0.1292202305526391,0.3006581653640477,0.0833274461149224,8.4,4.7,4.6,0.2634887900087051
CPI+fingerprint_mid_freq,se_C0020538,False,with_org,0.59738618,0.5177662642059264,0.49153127168067934,0.5504612747500269,430.0,215.5,4.6,2.7229369399836285
CPI+fingerprint_mid_freq,se_C0020538,True,no_org,0.51140635,0.07693572181243413,0.175743006993007,0.050253004427577484,2.2,1.6,4.6,0.2634887900087051
CPI+fingerprint_mid_freq,se_C0020538,True,with_org,0.58870548,0.49194999935527994,0.5099994629717968,0.47680026606035897,291.4,146.2,4.6,2.7229369399836285
CPI+fingerprint_mid_freq,se_C0027769,False,no_org,0.55775843,0.054283078078058364,0.12250000000000001,0.03648302148302148,19.8,10.4,18.0,0.2978939300053753
CPI+fingerprint_mid_freq,se_C0027769,False,with_org,0.57569453,0.4253000810973793,0.4085978287076948,0.4518033138033138,379.8,190.4,18.0,2.810153570014518
CPI+fingerprint_mid_freq,se_C0027769,True,no_org,0.51798564,0.04537435860697943,0.11944444444444444,0.028918918918918922,3.2,2.1,18.0,0.2978939300053753
CPI+fingerprint_mid_freq,se_C0027769,True,with_org,0.58827375,0.40517636554116454,0.4461798848867814,0.3788942646660038,242.2,121.6,18.0,2.810153570014518
CPI+fingerprint_mid_freq,se_C0030252,False,no_org,0.64307042,0.3864235142620688,0.510691856452726,0.3459536116861311,58.6,29.8,27.3,0.3309333700221032
CPI+fingerprint_mid_freq,se_C0030252,False,with_org,0.63743544,0.5327938066727236,0.5152344721357605,0.5556159511568184,379.0,190.0,27.3,2.7958103099954315
