feature,count_ones
cpi_9606.ENSP00000357255,25
cpi_9606.ENSP00000369816,25
cpi_9606.ENSP00000363868,25
cpi_9606.ENSP00000265643,25
cpi_9606.ENSP00000360608,25
cpi_9606.ENSP00000368438,25
cpi_9606.ENSP00000337335,25
cpi_9606.ENSP00000387699,25
cpi_9606.ENSP00000302111,25
cpi_9606.ENSP00000351755,25
cpi_9606.ENSP00000285238,25
cpi_9606.ENSP00000360247,25
cpi_9606.ENSP00000343027,25
cpi_9606.ENSP00000301146,25
cpi_9606.ENSP00000276414,25
cpi_9606.ENSP00000252321,25
cpi_9606.ENSP00000304767,24
cpi_9606.ENSP00000249016,24
cpi_9606.ENSP00000239938,24
cpi_9606.ENSP00000291294,24
cpi_9606.ENSP00000250971,24
cpi_9606.ENSP00000408695,24
cpi_9606.ENSP00000368727,24
cpi_9606.ENSP00000287766,24
cpi_9606.ENSP00000384665,24
cpi_9606.ENSP00000427279,24
cpi_9606.ENSP00000278616,24
cpi_9606.ENSP00000281806,24
cpi_9606.ENSP00000331746,24
cpi_9606.ENSP00000282397,24
cpi_9606.ENSP00000339191,24
cpi_9606.ENSP00000341189,24
cpi_9606.ENSP00000353915,24
cpi_9606.ENSP00000336630,24
cpi_9606.ENSP00000348897,24
cpi_9606.ENSP00000354280,24
cpi_9606.ENSP00000268035,24
cpi_9606.ENSP00000256958,24
cpi_9606.ENSP00000307713,24
cpi_9606.ENSP00000318820,24
cpi_9606.ENSP00000364310,24
cpi_9606.ENSP00000302811,24
cpi_9606.ENSP00000296026,23
cpi_9606.ENSP00000355920,23
cpi_9606.ENSP00000272644,23
cpi_9606.ENSP00000342070,23
cpi_9606.ENSP00000336764,23
cpi_9606.ENSP00000308032,23
cpi_9606.ENSP00000356430,23
cpi_9606.ENSP00000332225,23
cpi_9606.ENSP00000310928,23
cpi_9606.ENSP00000419692,23
cpi_9606.ENSP00000330138,23
cpi_9606.ENSP00000241261,23
cpi_9606.ENSP00000279593,23
cpi_9606.ENSP00000362508,23
cpi_9606.ENSP00000257068,23
cpi_9606.ENSP00000305877,23
cpi_9606.ENSP00000352702,23
cpi_9606.ENSP00000375893,23
cpi_9606.ENSP00000270474,23
cpi_9606.ENSP00000277010,23
cpi_9606.ENSP00000295453,23
cpi_9606.ENSP00000339260,23
cpi_9606.ENSP00000359643,23
cpi_9606.ENSP00000293897,23
cpi_9606.ENSP00000312999,23
cpi_9606.ENSP00000358867,23
cpi_9606.ENSP00000359334,23
cpi_9606.ENSP00000379213,23
cpi_9606.ENSP00000308720,23
cpi_9606.ENSP00000348918,23
cpi_9606.ENSP00000239223,23
cpi_9606.ENSP00000358099,23
cpi_9606.ENSP00000328973,23
cpi_9606.ENSP00000255262,23
cpi_9606.ENSP00000333194,23
cpi_9606.ENSP00000371067,23
cpi_9606.ENSP00000335592,23
cpi_9606.ENSP00000352835,22
cpi_9606.ENSP00000397181,22
cpi_9606.ENSP00000400175,22
cpi_9606.ENSP00000226413,22
cpi_9606.ENSP00000239849,22
cpi_9606.ENSP00000308938,22
cpi_9606.ENSP00000366061,22
cpi_9606.ENSP00000327875,22
cpi_9606.ENSP00000353198,22
cpi_9606.ENSP00000353731,22
cpi_9606.ENSP00000275300,22
cpi_9606.ENSP00000225740,22
cpi_9606.ENSP00000261267,22
cpi_9606.ENSP00000381339,22
cpi_9606.ENSP00000355155,22
cpi_9606.ENSP00000216714,22
cpi_9606.ENSP00000355316,22
cpi_9606.ENSP00000296140,22
cpi_9606.ENSP00000254488,22
cpi_9606.ENSP00000302707,22
cpi_9606.ENSP00000354652,22
cpi_9606.ENSP00000378699,22
cpi_9606.ENSP00000378492,22
cpi_9606.ENSP00000335620,22
cpi_9606.ENSP00000468991,22
cpi_9606.ENSP00000356429,22
cpi_9606.ENSP00000356213,22
cpi_9606.ENSP00000333534,22
cpi_9606.ENSP00000288022,22
cpi_9606.ENSP00000350348,22
cpi_9606.ENSP00000416293,22
cpi_9606.ENSP00000360968,22
cpi_9606.ENSP00000324173,22
cpi_9606.ENSP00000332812,22
cpi_9606.ENSP00000264218,22
cpi_9606.ENSP00000223642,22
cpi_9606.ENSP00000288135,22
cpi_9606.ENSP00000231188,21
cpi_9606.ENSP00000297785,21
cpi_9606.ENSP00000299267,21
cpi_9606.ENSP00000356694,21
